UID,SEG,translation,profanity
METALW-037709-0009,y sólo queso para el 3er ok - Todos los grandes,and only cheese for the 3rd ok - All the big,None
METALW-037709-0010,"Bien, he hecho un pedido de tres pizzas grandes, una con queso, otra con champiñones y otra con aceitunas y pollo.","Well, I've ordered three big pizzas, one with cheese, one with mushrooms and one with olives and chicken.",None
METALW-037710-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037710-0001,Necesito pedir algunas pizzas,I need to order some pizzas,None
METALW-037710-0002,"Sí, ¿qué tallas?","Yes, what sizes?",None
METALW-037710-0003,Tres grandes,Three big ones,None
METALW-037710-0004,¿Qué clase de corteza?,What kind of bark?,None
METALW-037710-0005,El primero va a ser una corteza delgada suprema,The first one is going to be a supreme thin bark,None
METALW-037710-0006,De acuerdo,I agree,None
METALW-037710-0007,"Al siguiente quiero un amante de la carne, pero un plato profundo","The next I want a meat lover, but a deep dish",None
METALW-037710-0008,De acuerdo,I agree,None
METALW-037710-0009,La última es sólo una pizza pepperoni con una corteza regular,The last one is just a pepperoni pizza with a regular crust,None
METALW-037710-0010,De acuerdo,I agree,None
METALW-037711-0000,¡hola! ¿En qué puedo ayudar?,Hello! How can I help?,None
METALW-037711-0001,Me gustaría pedir tres pizzas,I'd like to order three pizzas,None
METALW-037711-0002,Bien. ¿Alguna pizzería específica de la que quieras pedir?,Not bad. Any specific pizzerias you want to order from?,None
METALW-037711-0003,Dominós,Dominos,None
METALW-037711-0004,Bien. ¿Qué pizza te gustaría pedir?,Not bad. What pizza would you like to order?,None
METALW-037711-0005,un pequeño queso en la corteza regular Una piña de jamón mediano y tocino en la corteza de Tihin,a small cheese in the regular crust A medium ham pineapple and bacon in tihin bark,None
METALW-037711-0006,Bien. ¿De qué tamaño te gustaría tu pizza?,Not bad. How big would you like your pizza?,None
METALW-037711-0007,Un gran amante de la carne en delgado Cambiar el estilo ny medio a grande,A great meat lover in thin Change the style ny medium to large,None
METALW-037711-0008,Bien. Cambió su pizza estilo NY a grande.,Not bad. He changed his NY-style pizza to big.,None
METALW-037711-0009,Estilo medio a ny,Medium style to ny,None
METALW-037711-0010,Bien. Cambió su pizza estilo NY a medio.,Not bad. He changed his NY-style pizza to medium.,None
METALW-037712-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037712-0001,pedido de pizza pizza orden pizza pedido,pizza order pizza order pizza ordered,None
METALW-037712-0002,¿De dónde te gustaría pedir?,Where would you like to ask?,None
METALW-037712-0003,la cabaña de los felices,the cabin of the happy,None
METALW-037712-0004,¿Qué te gustaría pedir?,What would you like to order?,None
